America/Adak,-10
America/Anchorage,-9
America/Anguilla,-4
America/Antigua,-4
America/Araguaina,-3
America/Aruba,-4
America/Asuncion,-4
America/Barbados,-4
America/Belem,-3
America/Belize,-6
America/Boa_Vista,-4
America/Bogota,-5
America/Boise,-7
America/Buenos_Aires,-3
America/Cambridge_Bay,-7
America/Cancun,-6
America/Caracas,-4
America/Catamarca,-3
America/Cayenne,-3
America/Cayman,-5
America/Chicago,-6
America/Chihuahua,-7
America/Cordoba,-3
America/Costa_Rica,-6
America/Cuiaba,-4
America/Curacao,-4
America/Danmarkshavn,0
America/Dawson,-8
America/Dawson_Creek,-7
America/Denver,-7
America/Detroit,-5
America/Dominica,-4
America/Edmonton,-7
America/Eirunepe,-4
America/El_Salvador,-6
America/Fortaleza,-3
America/Glace_Bay,-4
America/Godthab,-3
America/Goose_Bay,-4
America/Grand_Turk,-5
America/Grenada,-4
America/Guadeloupe,-4
America/Guatemala,-6
America/Guayaquil,-5
America/Guyana,-4
America/Halifax,-4
America/Havana,-5
America/Hermosillo,-7
America/Indiana/Indianapolis,-5
America/Indiana/Knox,-6
America/Indiana/Marengo,-5
America/Indiana/Vevay,-5
America/Indianapolis,-5
America/Inuvik,-7
America/Iqaluit,-5
America/Jamaica,-5
America/Jujuy,-3
America/Juneau,-9
America/Kentucky/Louisville,-5
America/Kentucky/Monticello,-5
America/La_Paz,-4
America/Lima,-5
America/Los_Angeles,-8
America/Louisville,-5
America/Maceio,-3
America/Managua,-6
America/Manaus,-4
America/Martinique,-4
America/Mazatlan,-7
America/Mendoza,-3
America/Menominee,-6
America/Merida,-6
America/Mexico_City,-6
America/Miquelon,-3
America/Monterrey,-6
America/Montevideo,-3
America/Montreal,-5
America/Montserrat,-4
America/Nassau,-5
America/New_York,-5
America/Nipigon,-5
America/Nome,-9
America/Noronha,-2
America/North_Dakota/Center,-6
America/Panama,-5
America/Pangnirtung,-5
America/Paramaribo,-3
America/Phoenix,-7
America/Port-au-Prince,-5
America/Port_of_Spain,-4
America/Porto_Velho,-4
America/Puerto_Rico,-4
America/Rainy_River,-6
America/Rankin_Inlet,-6
America/Recife,-3
America/Regina,-6
America/Rio_Branco,-4
America/Rosario,-3
America/Santiago,-4
America/Santo_Domingo,-4
America/Sao_Paulo,-3
America/Scoresbysund,-1
America/Shiprock,-7
America/St_Johns,-2
America/St_Kitts,-4
America/St_Lucia,-4
America/St_Thomas,-4
America/St_Vincent,-4
America/Swift_Current,-6
America/Tegucigalpa,-6
America/Thule,-4
America/Thunder_Bay,-5
America/Tijuana,-8
America/Tortola,-4
America/Vancouver,-8
America/Whitehorse,-8
America/Winnipeg,-6
America/Yakutat,-9
America/Yellowknife,-7
Pacific/Auckland,12
Pacific/Apia,13
Pacific/Chatham,12
Pacific/Easter,-6
Pacific/Fakaofo,13
Pacific/Fiji,12
Pacific/Funafuti,12
Pacific/Galapagos,-6
Pacific/Gambier,-9
Pacific/Guam,10
Pacific/Honolulu,-10
Pacific/Kiritimati,14
Pacific/Kosrae,11
Pacific/Kwajalein,12
Pacific/Majuro,12
Pacific/Marquesas,-9
Pacific/Midway,-11
Pacific/Nauru,12
Pacific/Niue,-11
Pacific/Norfolk,
Pacific/Noumea,11
Pacific/Pago_Pago,-11
Pacific/Palau,9
Pacific/Pitcairn,-8
Pacific/Ponape,11
Pacific/Port_Moresby,10
Pacific/Rarotonga,-10
Pacific/Saipan,10
Pacific/Tahiti,-10
Pacific/Tarawa,12
Pacific/Truk,10
Pacific/Wake,12
Pacific/Wallis,12
Pacific/Yap,10
Australia/Sydney,10
Australia/Adelaide,12
Australia/Brisbane,10
Australia/Broken_Hill,12
Australia/Darwin,12
Australia/Hobart,10
Australia/Lindeman,10
Australia/Lord_Howe,14
Australia/Melbourne,10
Australia/Perth,8
Europe/Belfast,0
Europe/Dublin,0
Europe/Lisbon,0
Europe/London,0
Europe/Amsterdam,1
Europe/Belgrade,1
Europe/Brussels,1
Europe/Minsk,3
Europe/Moscow,4
